city,region,address,price,price_for_square_metre,total_area,floor,num_of_floors,num_of_rooms,subway,apartment_complex
Харків,Холодногірський,"вул. Болбочана Петра, 52",180 000 $,1 552 $,116 м²,9,10,3,Холодна гора,
Київ,,"вул. Предславинська, 42",479 000 $,5 885 $,81.4 м²,22,24,2,,ЖК Французький квартал 2
Київ,Голосіївський,"просп. Академіка Глушкова, 9Є",76 000 $,1 551 $,50 м²,18,25,1,Іподром,ЖК Акцент
Київ,Шевченківський,"просп. Берестейський(Перемоги), 42А",213 500 $,2 200 $,97.6 м²,7,23,2,Шулявська,ЖК Crystal Park Tower
Київ,Дарницький,"наб. Дніпровська, 14Б",360 000 $,3 273 $,110 м²,7,23,3,Осокорки,ЖК RiverStone
Київ,Шевченківський,"просп. Берестейський(Перемоги), 42А",279 400 $,2 200 $,126.3 м²,10,23,3,Шулявська,ЖК Crystal Park Tower
Київ,Шевченківський,"вул. Ґарета Джонса(Сім'ії Хохлових), 12",102 000 $,2 257 $,45.2 м²,20,22,1,Дорогожичі,ЖК Unit.Home
Вінниця,Ленінський,вул. Пирогова,38 500 $,1 041 $,37 м²,4,5,1,,
Вінниця,Староміський,вул. Нагірна,85 000 $,1 308 $,65 м²,1,4,2,,ЖК Нагірне
Вінниця,Староміський,"вул. Марії Приймаченко(Покришкіна), 8В",49 900 $,1 248 $,40 м²,3,12,1,,ЖК Європейський квартал
Вінниця,Ленінський,вул. Пирогова,53 000 $,1 472 $,36 м²,2,3,1,,
Хмельницький,Південно-Західний,"вул. Інститутська, 20/1",27 000 $,692 $,39 м²,1,5,2,,
Київ,Солом'янський,"вул. Нижньоключова, 14",83 900 $,1 852 $,45.3 м²,19,25,2,Шулявська,ЖК Campus
Хмельницький,Виставка,вул. Степана Бандери,44 900 $,724 $,62 м²,9,9,3,,
Хмельницький,Центр,"вул. Героїв Маріуполя(Гагаріна), 13",44 500 $,1 032 $,43.1 м²,2,5,2,,
Хмельницький,Південно-Західний,вул. Тернопільська,43 500 $,956 $,45.5 м²,2,5,2,,
Київ,Солом'янський,"вул. Богданівська, 7Д",160 000 $,2 286 $,70 м²,4,25,2,Вокзальна,ЖК Малахіт
Київ,Голосіївський,"вул. Василя Симоненка, 5А",150 500 $,1 929 $,78 м²,5,16,2,Виставковий центр,ЖК Ліко-Град 3
Київ,Печерський,"вул. Андрія Верхогляда(Драгомирова), 19Б",220 000 $,4 583 $,48 м²,2,19,1,Звіринецька(Дружби народів),ЖК Новопечерські Липки
Київ,Шевченківський,"вул. Богдана Гаврилишина(Ванди Василевської), 10",68 000 $,1 596 $,42.6 м²,7,10,2,Політехнічний інститут,
Київ,Голосіївський,"вул. Антоновича(Горького), 44",350 000 $,4 217 $,83 м²,15,24,3,Олімпійська,ЖК Chicago Central House
Київ,Солом'янський,"бул. Чоколівський, 18",64 000 $,1 478 $,43.3 м²,1,9,1,,
Київ,Печерський,"вул. Андрія Верхогляда(Драгомирова), 20",248 500 $,4 142 $,60 м²,14,23,2,,ЖК Новопечерські Липки
Київ,Дарницький,"вул. Зарічна, 4 корпус 1",89 000 $,1 486 $,59.9 м²,31,33,2,Осокорки,ЖК Славутич
Вінниця,Ленінський,"вул. Марії Литвиненко-Вольгемут, 19",55 000 $,887 $,62 м²,7,9,3,,
Вінниця,Ленінський,"вул. Князів Коріатовичів, 114 корпус 2",63 000 $,1 370 $,46 м²,7,12,1,,ЖК Резиденція
Київ,,Залізничне шосе,97 046 $,2 034 $,47.72 м²,1,26,1,Либідська,ЖК Nordica Residence
Київ,Голосіївський,"вул. Новопирогівська, 29",47 000 $,1 218 $,38.6 м²,3,9,1,,
Вінниця,Ленінський,вул. 600-річчя,49 900 $,1 109 $,45 м²,2,5,2,,
Вінниця,Ленінський,"Хмельницьке шосе, 21",40 000 $,1 153 $,34.7 м²,8,9,1,,
Ірпінь,,"вул. Кобилянської Ольги, 1В/21",51 500 $,1 288 $,40 м²,7,10,1,,ЖК Синергія Сіті
Київ,Печерський,вул. Панаса Мирного,1 200 000 $,6 349 $,189 м²,5,14,4,Печерська,
Ірпінь,,"вул. Достоєвського, 1В/1",59 900 $,1 447 $,41.4 м²,7,10,1,,
Ірпінь,,"вул. Миколи Сингаївського(Новооскольська), 1М",45 500 $,1 296 $,35.1 м²,2,5,1,,
Ірпінь,,"вул. Кобилянської Ольги, 1В/20",52 000 $,1 300 $,39.1 м²,5,10,1,,ЖК Синергія Сіті
Івано-Франківськ,Центр,"вул. Кобилянської, 22А",43 000 $,741 $,58 м²,10,10,2,,ЖК Імперія
Івано-Франківськ,,"вул. Княгинин, 44 корпус 21",96 999 $,1 502 $,64.6 м²,4,14,2,,
Київ,,Залізничне шосе,183 637 $,2 111 $,86.98 м²,2,26,2,Либідська,ЖК Nordica Residence
Київ,Дніпровський,"просп. Алішера Навої, 69",92 000 $,1 769 $,52 м²,20,25,1,Дарниця,ЖК Перовський
Ірпінь,,"вул. Миколи Сингаївського(Новооскольська), 2Б/1",33 000 $,1 269 $,26 м²,3,5,1,,ЖК Бургундія
Вінниця,Ленінський,"вул. Пирогова, 39",149 000 $,1 064 $,140 м²,7,15,3,,
Хмельницький,Південно-Західний,"вул. Інститутська, 6/1А",42 300 $,874 $,48.4 м²,5,10,2,,
Вінниця,Староміський,"вул. Костя Широцького, 5А",43 000 $,843 $,51 м²,7,10,1,,ЖК Староміський
Тернопіль,Східний,вул. Самчука Уласа,45 000 $,1 084 $,41.5 м²,2,10,1,,
Тернопіль,Бам,вул. Бойчуків Братів,40 500 $,810 $,50 м²,3,5,2,,
Тернопіль,Канада,вул. Вербицького Михайла,62 000 $,1 319 $,47 м²,2,10,1,,
Тернопіль,Бам,вул. 15-го Квітня,29 250 $,496 $,59 м²,3,9,2,,
Київ,Шевченківський,"вул. Олександра Кониського(Тургенєвська), 46/11",326 000 $,1 545 $,211 м²,12,12,3,Університет,
Київ,,Залізничне шосе,112 356 $,1 422 $,79.03 м²,2,18,2,Либідська,ЖК Nordica Residence
Київ,Дарницький,"вул. Причальна, 14",92 000 $,1 296 $,71 м²,11,26,2,Осокорки,ЖК Great
Тернопіль,Дружба,вул. Тролейбусна,70 000 $,1 222 $,57.3 м²,4,9,1,,"ЖК вул. Тролейбусна, 11д"
Тернопіль,Бам,вул. Сахарова Андрія Академіка,75 000 $,831 $,90.2 м²,7,7,3,,
Київ,Шевченківський,"вул. Данила Щербаківського(Щербакова), 32/38",69 000 $,1 335 $,51.7 м²,2,5,2,Нивки,
Вінниця,Ленінський,"вул. Праведників світу(Максимовича), 21Г корпус 1",52 500 $,1 094 $,48 м²,7,10,1,,ЖК Forest Home
Хмельницький,,"вул. Чорновола, 176/1Д",55 000 $,982 $,56 м²,5,10,2,,
Хмельницький,Дубове,"пров. Гетьмана Мазепи(Красовського Маршала), 57",54 000 $,964 $,56 м²,3,10,2,,ЖК Avila Sky
Хмельницький,Озерна,"вул. Кармелюка, 3/6",91 500 $,1 076 $,85 м²,2,10,2,,ЖК Озерний 2020
Дніпро,Соборний,"вул. Судця Маршала, 42/2",129 000 $,1 217 $,106 м²,9,10,3,,ЖК Пролісок
Хмельницький,Центр,"Старокостянтинівське шосе, 20/8",42 000 $,671 $,62.6 м²,4,10,1,,ЖК Олімпійський 2
Дніпро,Новокодацький,"мас. Червоний Камінь, 4",36 000 $,809 $,44.5 м²,3,10,2,Проспект Свободи,
Дніпро,Центральний,"вул. Шевченка, 51",160 000 $,2 388 $,67 м²,11,19,3,,ЖК Катеринославський I
Тернопіль,Східний,вул. Довженка Олександра,44 500 $,1 035 $,43 м²,9,9,1,,ЖК вул. Довженка
Тернопіль,Центр,вул. Енергетична,38 500 $,895 $,43 м²,7,12,1,,
Тернопіль,Дружба,вул. Володимира Лучаковського(Лучаківського),72 000 $,976 $,73.8 м²,4,9,3,,
Одеса,Київський,"вул. Костанді, 104/1",55 000 $,1 058 $,52 м²,13,24,1,,ЖК Горизонт
Дніпро,Індустріальний,"вул. Осіння, 9Б",33 000 $,917 $,36 м²,3,9,1,,
Дніпро,Центральний,"вул. Старокозацька, 52",37 200 $,949 $,39.2 м²,15,17,1,,
Дніпро,Амур-Нижньодніпровський,"пров. Софії Крушельницької, 2",24 000 $,593 $,40.5 м²,5,12,1,,
Тернопіль,Новий світ,вул. Березова,150 188 $,1 125 $,133.5 м²,4,6,4,,
Одеса,Приморський,"бул. Французький, 85/5",235 000 $,2 136 $,110 м²,4,18,3,,ЖК Green Wood
Київ,,Залізничне шосе,290 772 $,2 050 $,141.87 м²,4,26,4,Либідська,ЖК Nordica Residence
Одеса,Приморський,"вул. Каманіна, 16А/6",122 000 $,1 568 $,77.8 м²,8,25,3,,ЖК Сорок п'ята перлина
Одеса,,"пров. Морехідний, 2А",305 000 $,2 133 $,143 м²,3,25,3,,ЖК Морська симфонія
Одеса,Київський,"вул. Люстдорфська дорога, 55/2 корпус 3",42 000 $,1 221 $,34.4 м²,22,25,1,,ЖК Альтаїр
Одеса,Київський,"вул. Люстдорфська дорога, 90Г",135 000 $,1 688 $,80 м²,22,24,2,,ЖК Альтаїр 2
Вінниця,Ленінський,"вул. Андрія Первозванного, 58А",65 000 $,1 083 $,60 м²,1,11,1,,
Ірпінь,,"вул. Університетська(Карла Маркса), 3/14",34 500 $,869 $,39.7 м²,14,17,1,,ЖК City Park 2
Ірпінь,,"вул. Українська, 85В",65 000 $,1 222 $,53.2 м²,2,5,2,,"ЖК вул. Українська, 85в"
Київ,Печерський,"вул. Андрія Верхогляда(Драгомирова), 15",529 000 $,4 483 $,118 м²,15,30,3,Звіринецька(Дружби народів),ЖК Новопечерські Липки
Дніпро,Індустріальний,"Донецьке шосе, 123",69 500 $,946 $,73.5 м²,7,9,3,,
Тернопіль,Аляска,бул. Вишневецького Дмитра,83 000 $,922 $,90 м²,5,6,3,,
Тернопіль,Дружба,"вул. Тролейбусна, 7А",50 799 $,578 $,87.84 м²,2,10,2,,ЖК по вул. Лучаківського-Тролейбусна
Вінниця,Староміський,"вул. Марії Приймаченко(Покришкіна), 8Г корпус 3",84 000 $,977 $,86 м²,3,12,3,,ЖК Європейський квартал
