City,Region,Address,Price(USD),Price for square metre(USD),Total area(m²),Floor,Num of floors,Num of rooms,Subway,Apartment complex
Харків,Холодногірський,"вул. Болбочана Петра, 52",180000,1552,116.0,9,10,3,Холодна гора,Не ЖК
Київ,Не відомо,"вул. Предславинська, 42",479000,5885,81.4,22,24,2,Не вказано,ЖК Французький квартал 2
Київ,Голосіївський,"просп. Академіка Глушкова, 9Є",76000,1551,50.0,18,25,1,Іподром,ЖК Акцент
Київ,Шевченківський,"просп. Берестейський(Перемоги), 42А",213500,2200,97.6,7,23,2,Шулявська,ЖК Crystal Park Tower
Київ,Дарницький,"наб. Дніпровська, 14Б",360000,3273,110.0,7,23,3,Осокорки,ЖК RiverStone
Київ,Шевченківський,"просп. Берестейський(Перемоги), 42А",279400,2200,126.3,10,23,3,Шулявська,ЖК Crystal Park Tower
Київ,Шевченківський,"вул. Ґарета Джонса(Сім'ії Хохлових), 12",102000,2257,45.2,20,22,1,Дорогожичі,ЖК Unit.Home
Вінниця,Ленінський,вул. Пирогова,38500,1041,37.0,4,5,1,Немає в цьому місті,Не ЖК
Вінниця,Староміський,вул. Нагірна,85000,1308,65.0,1,4,2,Немає в цьому місті,ЖК Нагірне
Вінниця,Староміський,"вул. Марії Приймаченко(Покришкіна), 8В",49900,1248,40.0,3,12,1,Немає в цьому місті,ЖК Європейський квартал
Вінниця,Ленінський,вул. Пирогова,53000,1472,36.0,2,3,1,Немає в цьому місті,Не ЖК
Хмельницький,Південно-Західний,"вул. Інститутська, 20/1",27000,692,39.0,1,5,2,Немає в цьому місті,Не ЖК
Київ,Солом'янський,"вул. Нижньоключова, 14",83900,1852,45.3,19,25,2,Шулявська,ЖК Campus
Хмельницький,Виставка,вул. Степана Бандери,44900,724,62.0,9,9,3,Немає в цьому місті,Не ЖК
Хмельницький,Центр,"вул. Героїв Маріуполя(Гагаріна), 13",44500,1032,43.1,2,5,2,Немає в цьому місті,Не ЖК
Хмельницький,Південно-Західний,вул. Тернопільська,43500,956,45.5,2,5,2,Немає в цьому місті,Не ЖК
Київ,Солом'янський,"вул. Богданівська, 7Д",160000,2286,70.0,4,25,2,Вокзальна,ЖК Малахіт
Київ,Голосіївський,"вул. Василя Симоненка, 5А",150500,1929,78.0,5,16,2,Виставковий центр,ЖК Ліко-Град 3
Київ,Печерський,"вул. Андрія Верхогляда(Драгомирова), 19Б",220000,4583,48.0,2,19,1,Звіринецька(Дружби народів),ЖК Новопечерські Липки
Київ,Шевченківський,"вул. Богдана Гаврилишина(Ванди Василевської), 10",68000,1596,42.6,7,10,2,Політехнічний інститут,Не ЖК
Київ,Голосіївський,"вул. Антоновича(Горького), 44",350000,4217,83.0,15,24,3,Олімпійська,ЖК Chicago Central House
Київ,Солом'янський,"бул. Чоколівський, 18",64000,1478,43.3,1,9,1,Не вказано,Не ЖК
Київ,Печерський,"вул. Андрія Верхогляда(Драгомирова), 20",248500,4142,60.0,14,23,2,Не вказано,ЖК Новопечерські Липки
Київ,Дарницький,"вул. Зарічна, 4 корпус 1",89000,1486,59.9,31,33,2,Осокорки,ЖК Славутич
Вінниця,Ленінський,"вул. Марії Литвиненко-Вольгемут, 19",55000,887,62.0,7,9,3,Немає в цьому місті,Не ЖК
Вінниця,Ленінський,"вул. Князів Коріатовичів, 114 корпус 2",63000,1370,46.0,7,12,1,Немає в цьому місті,ЖК Резиденція
Київ,Не відомо,Залізничне шосе,97046,2034,47.72,1,26,1,Либідська,ЖК Nordica Residence
Київ,Голосіївський,"вул. Новопирогівська, 29",47000,1218,38.6,3,9,1,Не вказано,Не ЖК
Вінниця,Ленінський,вул. 600-річчя,49900,1109,45.0,2,5,2,Немає в цьому місті,Не ЖК
Вінниця,Ленінський,"Хмельницьке шосе, 21",40000,1153,34.7,8,9,1,Немає в цьому місті,Не ЖК
Ірпінь,Не відомо,"вул. Кобилянської Ольги, 1В/21",51500,1288,40.0,7,10,1,Немає в цьому місті,ЖК Синергія Сіті
Київ,Печерський,вул. Панаса Мирного,1200000,6349,189.0,5,14,4,Печерська,Не ЖК
Ірпінь,Не відомо,"вул. Достоєвського, 1В/1",59900,1447,41.4,7,10,1,Немає в цьому місті,Не ЖК
Ірпінь,Не відомо,"вул. Миколи Сингаївського(Новооскольська), 1М",45500,1296,35.1,2,5,1,Немає в цьому місті,Не ЖК
Ірпінь,Не відомо,"вул. Кобилянської Ольги, 1В/20",52000,1300,39.1,5,10,1,Немає в цьому місті,ЖК Синергія Сіті
Івано-Франківськ,Центр,"вул. Кобилянської, 22А",43000,741,58.0,10,10,2,Немає в цьому місті,ЖК Імперія
Івано-Франківськ,Не відомо,"вул. Княгинин, 44 корпус 21",96999,1502,64.6,4,14,2,Немає в цьому місті,Не ЖК
Київ,Не відомо,Залізничне шосе,183637,2111,86.98,2,26,2,Либідська,ЖК Nordica Residence
Київ,Дніпровський,"просп. Алішера Навої, 69",92000,1769,52.0,20,25,1,Дарниця,ЖК Перовський
Ірпінь,Не відомо,"вул. Миколи Сингаївського(Новооскольська), 2Б/1",33000,1269,26.0,3,5,1,Немає в цьому місті,ЖК Бургундія
Вінниця,Ленінський,"вул. Пирогова, 39",149000,1064,140.0,7,15,3,Немає в цьому місті,Не ЖК
Хмельницький,Південно-Західний,"вул. Інститутська, 6/1А",42300,874,48.4,5,10,2,Немає в цьому місті,Не ЖК
Вінниця,Староміський,"вул. Костя Широцького, 5А",43000,843,51.0,7,10,1,Немає в цьому місті,ЖК Староміський
Тернопіль,Східний,вул. Самчука Уласа,45000,1084,41.5,2,10,1,Немає в цьому місті,Не ЖК
Тернопіль,Бам,вул. Бойчуків Братів,40500,810,50.0,3,5,2,Немає в цьому місті,Не ЖК
Тернопіль,Канада,вул. Вербицького Михайла,62000,1319,47.0,2,10,1,Немає в цьому місті,Не ЖК
Тернопіль,Бам,вул. 15-го Квітня,29250,496,59.0,3,9,2,Немає в цьому місті,Не ЖК
Київ,Шевченківський,"вул. Олександра Кониського(Тургенєвська), 46/11",326000,1545,211.0,12,12,3,Університет,Не ЖК
Київ,Не відомо,Залізничне шосе,112356,1422,79.03,2,18,2,Либідська,ЖК Nordica Residence
Київ,Дарницький,"вул. Причальна, 14",92000,1296,71.0,11,26,2,Осокорки,ЖК Great
Тернопіль,Дружба,вул. Тролейбусна,70000,1222,57.3,4,9,1,Немає в цьому місті,"ЖК вул. Тролейбусна, 11д"
Тернопіль,Бам,вул. Сахарова Андрія Академіка,75000,831,90.2,7,7,3,Немає в цьому місті,Не ЖК
Київ,Шевченківський,"вул. Данила Щербаківського(Щербакова), 32/38",69000,1335,51.7,2,5,2,Нивки,Не ЖК
Вінниця,Ленінський,"вул. Праведників світу(Максимовича), 21Г корпус 1",52500,1094,48.0,7,10,1,Немає в цьому місті,ЖК Forest Home
Хмельницький,Не відомо,"вул. Чорновола, 176/1Д",55000,982,56.0,5,10,2,Немає в цьому місті,Не ЖК
Хмельницький,Дубове,"пров. Гетьмана Мазепи(Красовського Маршала), 57",54000,964,56.0,3,10,2,Немає в цьому місті,ЖК Avila Sky
Хмельницький,Озерна,"вул. Кармелюка, 3/6",91500,1076,85.0,2,10,2,Немає в цьому місті,ЖК Озерний 2020
Дніпро,Соборний,"вул. Судця Маршала, 42/2",129000,1217,106.0,9,10,3,Не вказано,ЖК Пролісок
Хмельницький,Центр,"Старокостянтинівське шосе, 20/8",42000,671,62.6,4,10,1,Немає в цьому місті,ЖК Олімпійський 2
Дніпро,Новокодацький,"мас. Червоний Камінь, 4",36000,809,44.5,3,10,2,Проспект Свободи,Не ЖК
Дніпро,Центральний,"вул. Шевченка, 51",160000,2388,67.0,11,19,3,Не вказано,ЖК Катеринославський I
Тернопіль,Східний,вул. Довженка Олександра,44500,1035,43.0,9,9,1,Немає в цьому місті,ЖК вул. Довженка
Тернопіль,Центр,вул. Енергетична,38500,895,43.0,7,12,1,Немає в цьому місті,Не ЖК
Тернопіль,Дружба,вул. Володимира Лучаковського(Лучаківського),72000,976,73.8,4,9,3,Немає в цьому місті,Не ЖК
Одеса,Київський,"вул. Костанді, 104/1",55000,1058,52.0,13,24,1,Немає в цьому місті,ЖК Горизонт
Дніпро,Індустріальний,"вул. Осіння, 9Б",33000,917,36.0,3,9,1,Не вказано,Не ЖК
Дніпро,Центральний,"вул. Старокозацька, 52",37200,949,39.2,15,17,1,Не вказано,Не ЖК
Дніпро,Амур-Нижньодніпровський,"пров. Софії Крушельницької, 2",24000,593,40.5,5,12,1,Не вказано,Не ЖК
Тернопіль,Новий світ,вул. Березова,150188,1125,133.5,4,6,4,Немає в цьому місті,Не ЖК
Одеса,Приморський,"бул. Французький, 85/5",235000,2136,110.0,4,18,3,Немає в цьому місті,ЖК Green Wood
Київ,Не відомо,Залізничне шосе,290772,2050,141.87,4,26,4,Либідська,ЖК Nordica Residence
Одеса,Приморський,"вул. Каманіна, 16А/6",122000,1568,77.8,8,25,3,Немає в цьому місті,ЖК Сорок п'ята перлина
Одеса,Не відомо,"пров. Морехідний, 2А",305000,2133,143.0,3,25,3,Немає в цьому місті,ЖК Морська симфонія
Одеса,Київський,"вул. Люстдорфська дорога, 55/2 корпус 3",42000,1221,34.4,22,25,1,Немає в цьому місті,ЖК Альтаїр
Одеса,Київський,"вул. Люстдорфська дорога, 90Г",135000,1688,80.0,22,24,2,Немає в цьому місті,ЖК Альтаїр 2
Вінниця,Ленінський,"вул. Андрія Первозванного, 58А",65000,1083,60.0,1,11,1,Немає в цьому місті,Не ЖК
Ірпінь,Не відомо,"вул. Університетська(Карла Маркса), 3/14",34500,869,39.7,14,17,1,Немає в цьому місті,ЖК City Park 2
Ірпінь,Не відомо,"вул. Українська, 85В",65000,1222,53.2,2,5,2,Немає в цьому місті,"ЖК вул. Українська, 85в"
Київ,Печерський,"вул. Андрія Верхогляда(Драгомирова), 15",529000,4483,118.0,15,30,3,Звіринецька(Дружби народів),ЖК Новопечерські Липки
Дніпро,Індустріальний,"Донецьке шосе, 123",69500,946,73.5,7,9,3,Не вказано,Не ЖК
Тернопіль,Аляска,бул. Вишневецького Дмитра,83000,922,90.0,5,6,3,Немає в цьому місті,Не ЖК
Тернопіль,Дружба,"вул. Тролейбусна, 7А",50799,578,87.84,2,10,2,Немає в цьому місті,ЖК по вул. Лучаківського-Тролейбусна
Вінниця,Староміський,"вул. Марії Приймаченко(Покришкіна), 8Г корпус 3",84000,977,86.0,3,12,3,Немає в цьому місті,ЖК Європейський квартал
Київ,Не відомо,Залізничне шосе,315094,2029,155.32,5,26,5,Либідська,ЖК Nordica Residence
Тернопіль,Цукровий завод,вул. Микулинецька,35500,538,66.0,9,9,2,Немає в цьому місті,Не ЖК
Вінниця,Замостянський,вул. Шимка Максима,42000,873,48.1,3,5,2,Немає в цьому місті,Не ЖК
Вінниця,Староміський,вул. Якова Гальчевського,53000,1262,39.9,10,10,1,Немає в цьому місті,ЖК по вул. Тимощука
Дніпро,Чечелівський,"вул. Професора Герасюти(Каверіна), 1",56000,932,60.08,4,9,2,Не вказано,Не ЖК
Одеса,Київський,вул. Академіка Вільямса,34999,1039,33.7,2,17,1,Немає в цьому місті,ЖК Акварель 8
Київ,Не відомо,Залізничне шосе,388069,1741,222.88,5,26,5,Либідська,ЖК Nordica Residence
Київ,Печерський,"вул. Андрія Верхогляда(Драгомирова), 20",240000,4000,60.0,15,23,2,Не вказано,Не ЖК
Київ,Голосіївський,"вул. Степана Рудницького(Академіка Вільямса), 19/14",130000,1646,79.0,9,22,2,Васильківська,ЖК Венеція
Ірпінь,Не відомо,"вул. Українська, 83Б корпус 2",70000,1136,61.6,12,14,2,Немає в цьому місті,ЖК Версаль парк
Дніпро,Соборний,"вул. Королеви Єлизавети ІІ(Глінки), 2",85000,1232,69.0,6,21,2,Не вказано,Не ЖК
Київ,Дарницький,"вул. Гришка Михайла, 9",91000,948,96.0,4,31,3,Позняки,Не ЖК
Ужгород,Боздош,"вул. О. Хіри, 6",79680,1200,66.4,4,8,2,Немає в цьому місті,ЖК Парковий
Київ,Не відомо,Залізничне шосе,368874,2029,181.83,5,26,5,Либідська,ЖК Nordica Residence
Софіївська Борщагівка,Не відомо,"просп. Мартинова, 13",77000,1925,40.0,5,10,1,Немає в цьому місті,Не ЖК
Ужгород,Не відомо,"пров. Вербний, 8",81900,1300,63.0,2,3,2,Немає в цьому місті,Не ЖК
Ужгород,БАМ,"пров. Вербний, 8",124800,1200,104.0,1,3,3,Немає в цьому місті,Не ЖК
Київ,Не відомо,"вул. Івана Кочерги, 17А",43368,1181,36.73,1,24,1,Не вказано,ЖК Синергія Київ
Ірпінь,Не відомо,"вул. Достоєвського, 1В/19",48300,776,62.24,5,9,2,Немає в цьому місті,ЖК Синергія Сіті
Тернопіль,Дружба,"вул. Тролейбусна, 7А",53043,578,91.72,2,10,2,Немає в цьому місті,ЖК по вул. Лучаківського-Тролейбусна
Київ,Не відомо,"вул. Івана Кочерги, 17А",48742,1253,38.9,1,24,1,Не вказано,ЖК Синергія Київ
Хмельницький,Південно-Західний,"вул. Інститутська, 6/1А",42500,874,48.6,9,10,1,Немає в цьому місті,Не ЖК
Ірпінь,Не відомо,"вул. Матвія Донцова(Тургенєвська), 50",49000,1350,36.3,4,10,1,Немає в цьому місті,ЖК Смайл
Київ,Дарницький,"вул. Зарічна, 2 корпус 3",117500,2369,49.6,4,12,1,Осокорки,ЖК Славутич
Тернопіль,Дружба,"вул. Тролейбусна, 7А",51210,578,88.55,2,10,2,Немає в цьому місті,ЖК по вул. Лучаківського-Тролейбусна
Київ,Не відомо,"вул. Івана Кочерги, 17А",42607,1229,34.67,1,24,1,Не вказано,ЖК Синергія Київ
Київ,Подільський,"вул. Набережно-Хрещатицька, 21",216220,3800,56.9,1,6,1,Поштова площа,ЖК Illinsky House
Одеса,Не відомо,"вул. Чубаївська, 1",174108,1240,140.41,3,12,3,Немає в цьому місті,Не ЖК
Львів,Франківський,"вул. Володимира Великого, 63",60500,962,62.9,1,9,3,Немає в цьому місті,Не ЖК
Вінниця,Ленінський,"пров. Цегельний, 12",80990,1109,73.0,3,20,3,Немає в цьому місті,ЖК Central Park Vinnytsia
Хмельницький,Не відомо,вул. Озерна,31910,679,47.01,1,10,1,Немає в цьому місті,ЖК Едем
Ірпінь,Не відомо,вул. Білокур(Курська),62000,1069,58.0,1,5,2,Немає в цьому місті,ЖК Green Yard
Ірпінь,Не відомо,"вул. Григорія Сковороди, 23",46891,824,59.0,9,10,2,Немає в цьому місті,ЖК Фортуна-2
Вінниця,Замостянський,вул. Левка Лук’яненка(Ватутіна),43000,1265,34.0,1,10,1,Немає в цьому місті,ЖК Східна Перлина
Київ,Подільський,"вул. Набережно-Хрещатицька, 21",184680,3800,48.6,1,6,1,Поштова площа,ЖК Illinsky House
Львів,Галицький,"вул. Лемківська, 9 корпус 6",136900,2094,65.37,4,4,2,Немає в цьому місті,Не ЖК
Ірпінь,Не відомо,"вул. Ветеранів Афганістану, 18Д",51000,895,57.0,9,9,2,Немає в цьому місті,Не ЖК
Івано-Франківськ,Пасічна,вул. Тролейбусна,69900,903,77.4,3,10,3,Немає в цьому місті,Не ЖК
Хмельницький,Південно-Західний,"вул. Інститутська, 6/1А",42500,874,48.6,5,10,1,Немає в цьому місті,Не ЖК
Тернопіль,Бам,вул. Симоненка Василя,37800,564,67.0,2,9,3,Немає в цьому місті,Не ЖК
Львів,Сихівський,"вул. Зелена, 204Д",87500,2303,38.6,10,10,1,Немає в цьому місті,ЖК Avalon Zelena Street
Київ,Дніпровський,вул. Вінстона Черчилля(Червоноткацька),78500,1120,70.1,5,5,4,Дарниця,Не ЖК
Тернопіль,Не відомо,"вул. Смакули, 9Б, 9Г, 9Д",41928,723,58.0,1,12,1,Немає в цьому місті,ЖК Київський
Київ,Шевченківський,"вул. Павлівська, 26/41",205000,2470,84.2,5,6,2,Лук'янівська,Не ЖК
Львів,Сихівський,"вул. Зелена, 269М",110000,1642,67.0,12,16,2,Немає в цьому місті,ЖК Яскравий Львів
Івано-Франківськ,Опришівці,"вул. Отця Блавацького, 18/16",32500,813,39.8,7,9,1,Немає в цьому місті,ЖК Опришівська Слобода
Ірпінь,Не відомо,"вул. Щаслива, 15А",28900,1032,28.0,3,5,1,Немає в цьому місті,ЖК Щасливий
Тернопіль,Не відомо,"вул. Смакули, 7А",39108,723,54.1,1,12,1,Немає в цьому місті,ЖК Київський
